stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,year,month,day,hour
52679,102.8739,37.8858,1540.2,12,9999,104,1.4,1009.0,0,0,0,9999.0,9999,9999,9999,-2.2,23.2,0,9.7,9999,9999,1,2,6.9,-76,2019,5,1,2
52679,102.8739,37.8858,1540.2,12,9999,278,1.0,1009.9,3,9999,9999,9999.0,9999,9999,9999,0.2,18.0,0,5.9,9999,9999,1,2,4.5,-52,2019,5,1,5
52679,102.8739,37.8858,1540.2,12,10,256,0.9,1011.2,13,6,0,9999.0,9999,0,5600,0.6,12.0,0,9.2,9999,9999,1,2,4.9,-38,2019,5,1,8
52679,102.8739,37.8858,1540.2,12,10,351,2.9,1010.7,6,0,0,9999.0,9999,0,5700,-5.1,21.5,0,16.7,9999,9999,1,2,4.5,-25,2019,5,1,11
52679,102.8739,37.8858,1540.2,12,10,19,2.1,1008.1,-19,0,0,9999.0,9999,0,5400,-1.8,27.4,0,21.4,9999,9999,1,2,4.2,-15,2019,5,1,14
52679,102.8739,37.8858,1540.2,12,9999,62,2.4,1007.0,-15,0,0,9999.0,9999,9999,9999,-4.1,30.0,0,23.0,9999,9999,1,2,3.6,-10,2019,5,1,17
52679,102.8739,37.8858,1540.2,12,10,98,0.7,1007.7,4,0,0,9999.0,9999,0,5700,-1.6,30.0,0,18.8,9999,9999,1,2,2.0,-3,2019,5,1,20
52679,102.8739,37.8858,1540.2,12,9999,112,1.2,1008.9,12,9999,9999,9999.0,9999,9999,9999,-0.8,17.4,0,12.3,9999,9999,1,2,-1.0,4,2019,5,1,23
52679,102.8739,37.8858,1540.2,12,9999,214,0.9,1006.5,-10,0,0,9999.0,9999,9999,9999,0.9,26.4,0,11.5,9999,9999,1,2,1.8,-6,2019,5,2,2
52679,102.8739,37.8858,1540.2,12,9999,230,1.0,1006.3,-11,9999,9999,9999.0,9999,9999,9999,1.6,15.5,0,6.1,9999,9999,1,2,0.2,-20,2019,5,2,5
52679,102.8739,37.8858,1540.2,12,0,274,2.0,1007.6,12,0,0,9999.0,9999,0,2500,1.5,19.2,0,10.7,9999,9999,1,2,1.5,-21,2019,5,2,8
52679,102.8739,37.8858,1540.2,12,10,14,1.5,1006.4,-7,0,0,9999.0,9999,0,5700,3.6,23.1,0,18.6,9999,9999,1,2,1.9,-34,2019,5,2,11
52679,102.8739,37.8858,1540.2,12,10,359,2.9,1002.9,-19,0,0,9999.0,9999,0,5600,2.0,26.1,0,23.1,9999,9999,1,2,1.7,-34,2019,5,2,14
